algorithm;delta;max_M;avg_M
ttv;2;15895.668604574723;48.9179001004376
ttv;8;21467.11095057907;146.50596253067621
ttv;16;30160.26882849724;276.6229307201209
ttv;32;35677.652542513366;536.8832409321126
ttv;64;67062.89988092986;1057.4492750759166
defi;2;3256.6985356931814;16.10773719977981
defi;8;3299.0858750380007;48.24992289012281
defi;16;3351.0794599994742;91.10277340127553
defi;32;3608.8507341489385;176.817487601782
defi;64;5865.079616205006;348.2484850215771
asp;2;3256.542727578583;13.41472866057637
asp;8;3297.1559399064445;38.10521730796041
asp;16;3332.149532528941;67.04415310127415
asp;32;3392.4738972877926;116.749955116855
asp;64;5801.55497988753;200.38336249144282
