algorithm;delta;max_M;avg_M
ttv;300;66065.72160548349;10995.598605311985
ttv;600;95102.33845128462;21962.413167909865
ttv;900;138883.94158243237;32921.15379062053
ttv;1200;175165.88343512182;43873.04116962425
ttv;1500;206993.40445757884;54817.569497792894
ttv;1800;230364.73973672139;65761.37614274432
ttv;2100;245584.86548949272;76710.2698823129
ttv;2400;262573.6541637194;87663.98252361434
ttv;2700;277851.3017784188;98619.25762498252
ttv;3000;294322.93655963533;109583.86454056311
defi;300;4974.790722630022;1298.5759127027884
defi;600;8666.541901310498;2592.1549894822892
defi;900;12368.221844666605;3885.0178524310695
defi;1200;14696.143814126537;5174.59573931011
defi;1500;16522.672895251733;6461.81215438921
defi;1800;18242.5982053632;7748.036323386263
defi;2100;20603.282540693155;9032.635965341373
defi;2400;22403.8144059623;10315.557210853438
defi;2700;24300.589215772336;11595.813644473928
defi;3000;27531.35022104592;12872.985074030981
asp;300;2860.6857706833503;430.83124574617676
asp;600;3174.1746408700906;734.5811262592051
asp;900;3603.5823245231327;1003.1791509719984
asp;1200;3972.1626625282943;1258.7460569922478
asp;1500;4280.321985933627;1496.4866998878772
asp;1800;4660.192052437254;1699.7094022607507
asp;2100;5208.0082973073595;1862.9436093715947
asp;2400;5512.8481235275085;2098.7095912402833
asp;2700;5694.3577605441305;2302.8661876614806
asp;3000;5954.974368033609;2503.4559562674967
