day;delta;algorithm;avg_M;max_M
2025-12-01;300;ttv;22670.651525115936;64128.346255700126
2025-12-02;300;ttv;16043.771732728388;43098.016794669005
2025-12-03;300;ttv;24869.58318208462;47651.13076470542
2025-12-04;300;ttv;17830.00064506293;38236.523404143685
2025-12-05;300;ttv;19719.70489761631;47149.62073017681
2025-12-06;300;ttv;10133.334953714157;30429.308146507527
2025-12-07;300;ttv;6624.93493142855;34520.38371068166
2025-12-08;300;ttv;5783.4177401283105;18964.78950951574
2025-12-09;300;ttv;7780.233240187895;43276.925651939986
2025-12-10;300;ttv;8161.7911560000275;35732.20779957512
2025-12-11;300;ttv;8950.848000748816;27461.7133563296
2025-12-12;300;ttv;8897.042846930497;27732.114820940158
2025-12-13;300;ttv;6916.606166383056;12795.509117550451
2025-12-14;300;ttv;10569.410834944272;40660.683011987334
2025-12-15;300;ttv;13579.645071247354;35240.85498874875
2025-12-16;300;ttv;12045.747665160427;29230.79377975698
2025-12-17;300;ttv;15277.394814836112;66065.72160548349
2025-12-18;300;ttv;14338.444365077276;52237.75029962168
2025-12-19;300;ttv;12334.30705119926;36260.293352538465
2025-12-20;300;ttv;5582.77053970785;9694.185786643873
2025-12-21;300;ttv;6689.362367702384;24089.275135663687
2025-12-22;300;ttv;9438.743287218063;17827.15717381572
2025-12-23;300;ttv;7528.776308391069;13085.82713059764
2025-12-24;300;ttv;7895.186807041658;15327.204175889754
2025-12-25;300;ttv;7189.115595810578;17016.50972559563
2025-12-26;300;ttv;8152.11433708879;18594.14598136158
2025-12-27;300;ttv;6461.027354161368;13312.530406420692
2025-12-28;300;ttv;8541.054429095602;17676.084824551028
2025-12-29;300;ttv;12556.052370198191;32224.29768767442
2025-12-30;300;ttv;9633.183103213934;18855.101335668645
2025-12-31;300;ttv;8669.299444447735;17033.56211985699
2025-12-01;300;defi;2065.111223732491;4949.596631617648
2025-12-02;300;defi;1705.3513466896216;4433.391582947723
2025-12-03;300;defi;1701.58215030429;3280.9813368095765
2025-12-04;300;defi;1509.4228746883311;3355.0126312573198
2025-12-05;300;defi;1726.0783186569256;4210.92743035385
2025-12-06;300;defi;709.3159072565235;3320.1615430715037
2025-12-07;300;defi;586.1647890018991;3230.438883996069
2025-12-08;300;defi;1483.2145028829934;3529.8507980663094
2025-12-09;300;defi;1746.4102993250713;3726.694817907342
2025-12-10;300;defi;1574.6519153176512;4078.291226839393
2025-12-11;300;defi;1750.7833100632747;3420.7198285039026
2025-12-12;300;defi;1473.2971448274095;3424.1936262212557
2025-12-13;300;defi;702.9250750172139;3310.731374346106
2025-12-14;300;defi;797.5647493718263;3495.1979148985843
2025-12-15;300;defi;1545.3921053098138;3219.722837878975
2025-12-16;300;defi;1470.3337342558054;3357.4018638111806
2025-12-17;300;defi;1464.3570102703682;3758.5647600130806
2025-12-18;300;defi;1451.4925533226417;3975.2497561218406
2025-12-19;300;defi;1478.2091666301385;3148.906043188344
2025-12-20;300;defi;562.3340473391856;3218.7399097413636
2025-12-21;300;defi;473.7597190412053;2664.9688300813514
2025-12-22;300;defi;1276.8837837795772;2852.2036866027343
2025-12-23;300;defi;1553.8550384735568;3388.765747651419
2025-12-24;300;defi;1304.2828231246122;3376.374452855911
2025-12-25;300;defi;696.2771020456798;3007.4039804294025
2025-12-26;300;defi;1115.0935726952134;3079.6523614829616
2025-12-27;300;defi;603.2638862797464;3056.65580968227
2025-12-28;300;defi;706.4497415241784;4395.669655236536
2025-12-29;300;defi;1718.8971306924325;4124.20108794571
2025-12-30;300;defi;1705.1284643431597;4974.790722630022
2025-12-31;300;defi;1597.9698075235995;3943.5107560496676
2025-12-01;300;asp;692.5101024835781;2208.5867864225697
2025-12-02;300;asp;544.9563214106239;1978.2530038540144
2025-12-03;300;asp;526.8540866004043;1315.9922847327525
2025-12-04;300;asp;476.95403368874304;1069.8710543111654
2025-12-05;300;asp;563.9098423746244;2860.6857706833503
2025-12-06;300;asp;222.2778209173355;788.1089130835979
