Top-20 assets per period, ranked by the number of distinct transactions
moving the asset (ERC20 transfers, plus native ETH with value > 0).
Tickers were added manually.

2025-01-01 00:00:00+00 - 2026-01-01 00:00:00+00

asset,tx_count,transfer_events,(ticker)
ETH (native),236011726,236011726,(ETH)
0xdac17f958d2ee523a2206206994597c13d831ec7,84773543,130707534,(USDT)
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,73670849,106045713,(WETH)
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,62252960,109249675,(USDC)
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,4123547,7340286,(WBTC)
0x6b175474e89094c44da98b954eedeac495271d0f,3214929,5440845,(DAI)
0x514910771af9ca656af840dff83e8264ecf986ca,2703689,4534870,(LINK)
0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,1851859,2807849,(SHIB)
0x6982508145454ce325ddbe47a25d4ec3d2311933,1799787,2888907,(PEPE)
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,1484432,2439919,(UNI)
0x57e114b691db790c35207b2e685d4a43181e6061,1405440,1871408,(ENA)
0x6c3ea9036406852006290770bedfcaba0e23a0e8,1318911,1466707,(PYUSD)
0xfaba6f8e4a5e8ab82f62fe7c39859fa577269be3,1309419,1931208,(ONDO)
0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,1226222,1741111,(AAVE)
0xd533a949740bb3306d119cc777fa900ba034cd52,1126257,3262411,(CRV)
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,1031594,1959013,(USDe)
0xe0f63a424a4439cbe457d80e4f4b51ad25b2c56c,954130,1558926,(SPX)
0xd0ec028a3d21533fdd200838f39c85b03679285d,938462,1006752,(NEWT)
0xa2cd3d43c775978a96bdbf12d733d5a1ed94fb18,879804,1054470,(XCN)
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,844817,1789840,(wstETH)
